X1,X2
Yale,Bryant
Bryant,New Hampshire
Columbia,Bryant
Hartford,Bryant
Bryant,Dartmouth
Iowa,Bryant
Bryant,St. Francis Brooklyn
LIU Brooklyn,Bryant
Bryant,Mount St. Mary's
Sacred Heart,Bryant
Robert Morris,Bryant
Bryant,Saint Francis (PA)
Bryant,Central Conn. St.
Fairleigh Dickinson,Bryant
Bryant,Wagner
Central Conn. St.,Bryant
Robert Morris,Bryant
Saint Francis (PA),Bryant
Sacred Heart,Bryant
Fairleigh Dickinson,Bryant
Bryant,Wagner
Bryant,Mount St. Mary's
St. Francis Brooklyn,Bryant
LIU Brooklyn,Bryant
Saint Francis (PA),Bryant
Bucknell,St. Bonaventure
Fairfield,Bucknell
Canisius,Bucknell
Bucknell,Vermont
Northeastern,Bucknell
Bucknell,Monmouth
Bucknell,La Salle
Ohio St.,Bucknell
Saint Mary's (CA),Bucknell
Bucknell,Rhode Island
TCU,Bucknell
Bucknell,UNLV
Bucknell,Army West Point
Boston U.,Bucknell
Bucknell,Colgate
Bucknell,American
Bucknell,Holy Cross
Bucknell,Lehigh
Bucknell,Loyola Maryland
American,Bucknell
Bucknell,Navy
Bucknell,Lafayette
Bucknell,Loyola Maryland
Bucknell,Boston U.
Bucknell,Lehigh
Holy Cross,Bucknell
Colgate,Bucknell
Bucknell,Lafayette
Navy,Bucknell
Bucknell,Army West Point
Bucknell,Holy Cross
Bucknell,Lehigh
Colgate,Bucknell
Buffalo,Saint Francis (PA)
Buffalo,West Virginia
Buffalo,Southern Ill.
Buffalo,Dartmouth
Buffalo,Marist
Buffalo,Milwaukee
Buffalo,San Francisco
Buffalo,St. Bonaventure
Buffalo,Southern Ill.
Buffalo,Syracuse
Marquette,Buffalo
Buffalo,Canisius
Buffalo,Eastern Mich.
Buffalo,Toledo
Buffalo,Miami (OH)
Buffalo,Western Mich.
Buffalo,Eastern Mich.
Northern Ill.,Buffalo
Buffalo,Kent St.
Buffalo,Ball St.
Bowling Green,Buffalo
Buffalo,Central Mich.
Buffalo,Akron
Buffalo,Toledo
Buffalo,Ohio
Buffalo,Kent St.
Buffalo,Akron
Buffalo,Miami (OH)
Buffalo,Ohio
Buffalo,Bowling Green
Buffalo,Akron
Buffalo,Central Mich.
Buffalo,Bowling Green
Butler,Miami (OH)
Butler,Detroit Mercy
Butler,Ole Miss
Dayton,Butler
Butler,Middle Tenn.
Butler,Florida
Saint Louis,Butler
Butler,Brown
Butler,Northern Ill.
Indiana,Butler
Butler,Presbyterian
Butler,UC Irvine
Florida,Butler
Georgetown,Butler
Butler,Creighton
Seton Hall,Butler
Xavier,Butler
Butler,DePaul
Butler,St. John's (NY)
Villanova,Butler
Creighton,Butler
Marquette,Butler
Butler,Seton Hall
Butler,Georgetown
St. John's (NY),Butler
Butler,DePaul
Marquette,Butler
Providence,Butler
Villanova,Butler
Butler,Xavier
Providence,Butler
Providence,Butler
Nevada,BYU
BYU,Utah Valley
BYU,Northwestern St.
BYU,Oral Roberts
BYU,Alabama A&M
BYU,Rice
Houston,BYU
Illinois St.,BYU
Weber St.,BYU
BYU,Utah St.
BYU,Utah
BYU,Portland St.
UNLV,BYU
San Diego St.,BYU
Mississippi St.,BYU
BYU,Pacific
Saint Mary's (CA),BYU
BYU,Portland
BYU,Santa Clara
BYU,Pepperdine
San Francisco,BYU
BYU,Saint Mary's (CA)
Gonzaga,BYU
BYU,Loyola Marymount
BYU,Portland
BYU,Pacific
BYU,San Diego
BYU,Loyola Marymount
San Francisco,BYU
Gonzaga,BYU
BYU,San Diego
San Diego,BYU
Arizona,Cal Poly
NA,NA
Washington St.,Cal Poly
Texas St.,Cal Poly
Portland,Cal Poly
Cal Poly,USC Upstate
Fresno St.,Cal Poly
Cal Poly,Bethune-Cookman
California,Cal Poly
CSU Bakersfield,Cal Poly
UT Arlington,Cal Poly
Siena,Cal Poly
UC Santa Barbara,Cal Poly
CSUN,Cal Poly
UC Davis,Cal Poly
UC Riverside,Cal Poly
Cal St. Fullerton,Cal Poly
Cal Poly,UC Riverside
CSUN,Cal Poly
UC Davis,Cal Poly
Long Beach St.,Cal Poly
Hawaii,Cal Poly
